Airport code,City,State,Airport name ,data source id,ranking,,,,,Airport used 
LBE,Latrobe, PA, Arnold Palmer Regional (LBE),#REF!,,FALSE,FALSE,'LBE',0,FALSE
LAW,Lawton/Fort Sill, OK, Lawton-Fort Sill Regional (LAW),#REF!,,FALSE,FALSE,'LAW',0,FALSE
LWB,Lewisburg, WV, Greenbrier Valley (LWB),#REF!,,FALSE,FALSE,'LWB',0,FALSE
LWS,Lewiston, ID, Lewiston Nez Perce County (LWS),#REF!,,FALSE,FALSE,'LWS',0,FALSE
IDA,Idaho Falls, ID, Idaho Falls Regional (IDA),#REF!,2,FALSE,#REF!,'IDA',1,IDA
LBL,Liberal, KS, Liberal Mid-America Regional (LBL),#REF!,,FALSE,FALSE,'LBL',0,FALSE
LIH,Lihue, HI, Lihue Airport (LIH),#REF!,,FALSE,FALSE,'LIH',0,FALSE
LNK,Lincoln, NE, Lincoln Airport (LNK),#REF!,,FALSE,FALSE,'LNK',0,FALSE
LIT,Little Rock, AR, Bill and Hillary Clinton Nat Adams Field (LIT),#REF!,,FALSE,FALSE,'LIT',0,FALSE
LGB,Long Beach, CA, Long Beach Airport (LGB),#REF!,,FALSE,FALSE,'LGB',0,FALSE
GGG,Longview, TX, East Texas Regional (GGG),#REF!,,FALSE,FALSE,'GGG',0,FALSE
ILG,Wilmington, DE, New Castle (ILG),#REF!,2,FALSE,#REF!,'ILG',1,ILG
SDF,Louisville, KY, Louisville Muhammad Ali International (SDF),#REF!,,FALSE,FALSE,'SDF',0,FALSE
LBB,Lubbock, TX, Lubbock Preston Smith International (LBB),#REF!,,FALSE,FALSE,'LBB',0,FALSE
LYH,Lynchburg, VA, Lynchburg Regional/Preston Glenn Field (LYH),#REF!,,FALSE,FALSE,'LYH',0,FALSE
MCN,Macon, GA, Middle Georgia Regional (MCN),#REF!,,FALSE,FALSE,'MCN',0,FALSE
IND,Indianapolis, IN, Indianapolis International (IND),#REF!,2,FALSE,#REF!,'IND',1,IND
MMH,Mammoth Lakes, CA, Mammoth Lakes Airport (MMH),#REF!,,FALSE,FALSE,'MMH',0,FALSE
MHT,Manchester, NH, Manchester-Boston Regional (MHT),#REF!,,FALSE,FALSE,'MHT',0,FALSE
MHK,Manhattan/Ft. Riley, KS, Manhattan Regional (MHK),#REF!,,FALSE,FALSE,'MHK',0,FALSE
MTH,Marathon, FL, The Florida Keys Marathon International (MTH),#REF!,,FALSE,FALSE,'MTH',0,FALSE
MQT,Marquette, MI, Sawyer International (MQT),#REF!,,FALSE,FALSE,'MQT',0,FALSE
MVY,Martha&#39;s Vineyard, MA, Martha&#39;s Vineyard Airport (MVY),#REF!,,FALSE,FALSE,'MVY',0,FALSE
MAZ,Mayaguez, PR, Eugenio Maria de Hostos (MAZ),#REF!,,FALSE,FALSE,'MAZ',0,FALSE
MFR,Medford, OR, Rogue Valley International - Medford (MFR),#REF!,,FALSE,FALSE,'MFR',0,FALSE
MLB,Melbourne, FL, Melbourne International (MLB),#REF!,,FALSE,FALSE,'MLB',0,FALSE
MEM,Memphis, TN, Memphis International (MEM),#REF!,,FALSE,FALSE,'MEM',0,FALSE
MEI,Meridian, MS, Key Field (MEI),#REF!,,FALSE,FALSE,'MEI',0,FALSE
JAX,Jacksonville, FL, Jacksonville International (JAX),#REF!,1,#REF!,FALSE,'JAX',1,JAX
MAF,Midland/Odessa, TX, Midland International Air and Space Port (MAF),#REF!,,FALSE,FALSE,'MAF',0,FALSE
MKE,Milwaukee, WI, General Mitchell International (MKE),#REF!,,FALSE,FALSE,'MKE',0,FALSE
JFK,New York, NY, John F. Kennedy International (JFK),#REF!,1,#REF!,FALSE,'JFK',1,JFK
MIB,Minot, ND, Minot AFB (MIB),#REF!,,FALSE,FALSE,'MIB',0,FALSE
MOT,Minot, ND, Minot International (MOT),#REF!,,FALSE,FALSE,'MOT',0,FALSE
MFE,Mission/McAllen/Edinburg, TX, McAllen Miller International (MFE),#REF!,,FALSE,FALSE,'MFE',0,FALSE
MSO,Missoula, MT, Missoula International (MSO),#REF!,,FALSE,FALSE,'MSO',0,FALSE
CNY,Moab, UT, Canyonlands Field (CNY),#REF!,,FALSE,FALSE,'CNY',0,FALSE
BFM,Mobile, AL, Mobile Downtown (BFM),#REF!,,FALSE,FALSE,'BFM',0,FALSE
MOB,Mobile, AL, Mobile Regional (MOB),#REF!,,FALSE,FALSE,'MOB',0,FALSE
MOD,Modesto, CA, Modesto City-County-Harry Sham Field (MOD),#REF!,,FALSE,FALSE,'MOD',0,FALSE
MLI,Moline, IL, Quad City International (MLI),#REF!,,FALSE,FALSE,'MLI',0,FALSE
MLU,Monroe, LA, Monroe Regional (MLU),#REF!,,FALSE,FALSE,'MLU',0,FALSE
MRY,Monterey, CA, Monterey Regional (MRY),#REF!,,FALSE,FALSE,'MRY',0,FALSE
MGM,Montgomery, AL, Montgomery Regional (MGM),#REF!,,FALSE,FALSE,'MGM',0,FALSE
MTJ,Montrose/Delta, CO, Montrose Regional (MTJ),#REF!,,FALSE,FALSE,'MTJ',0,FALSE
MWH,Moses Lake, WA, Grant County International (MWH),#REF!,,FALSE,FALSE,'MWH',0,FALSE
CWA,Mosinee, WI, Central Wisconsin (CWA),#REF!,,FALSE,FALSE,'CWA',0,FALSE
MKG,Muskegon, MI, Muskegon County (MKG),#REF!,,FALSE,FALSE,'MKG',0,FALSE
LAN,Lansing, MI, Capital Region International (LAN),#REF!,2,FALSE,#REF!,'LAN',1,LAN
ACK,Nantucket, MA, Nantucket Memorial (ACK),#REF!,,FALSE,FALSE,'ACK',0,FALSE
APF,"lected"" value=""APF"">Naples", FL, Naples Municipal (APF),#REF!,,FALSE,FALSE,'APF',0,FALSE
LAS,Las Vegas, NV, McCarran International (LAS),#REF!,2,FALSE,#REF!,'LAS',1,LAS
EWN,New Bern/Morehead/Beaufort, NC, Coastal Carolina Regional (EWN),#REF!,,FALSE,FALSE,'EWN',0,FALSE
LAX,Los Angeles, CA, Los Angeles International (LAX),#REF!,1,#REF!,FALSE,'LAX',1,LAX
LCK,Columbus, OH, Rickenbacker International (LCK),#REF!,2,FALSE,#REF!,'LCK',1,LCK
LEX,Lexington, KY, Blue Grass (LEX),#REF!,2,FALSE,#REF!,'LEX',1,LEX
LGA,New York, NY, LaGuardia (LGA),#REF!,1,#REF!,FALSE,'LGA',1,LGA
MCI,Kansas City, MO, Kansas City International (MCI),#REF!,2,FALSE,#REF!,'MCI',1,MCI
SWF,Newburgh/Poughkeepsie, NY, New York Stewart International (SWF),#REF!,,FALSE,FALSE,'SWF',0,FALSE
PHF,Newport News/Williamsburg, VA, Newport News/Williamsburg International (PHF),#REF!,,FALSE,FALSE,'PHF',0,FALSE
MCO,Orlando, FL, Orlando International (MCO),#REF!,1,#REF!,FALSE,'MCO',1,MCO
OME,Nome, AK, Nome Airport (OME),#REF!,,FALSE,FALSE,'OME',0,FALSE
ORF,Norfolk, VA, Norfolk International (ORF),#REF!,,FALSE,FALSE,'ORF',0,FALSE
OTH,North Bend/Coos Bay, OR, Southwest Oregon Regional (OTH),#REF!,,FALSE,FALSE,'OTH',0,FALSE
LBF,North Platte, NE, North Platte Regional Airport Lee Bird Field (LBF),#REF!,,FALSE,FALSE,'LBF',0,FALSE
MDW,Chicago, IL, Chicago Midway International (MDW),#REF!,1,#REF!,FALSE,'MDW',1,MDW
OGD,Ogden, UT, Ogden-Hinckley (OGD),#REF!,,FALSE,FALSE,'OGD',0,FALSE
OGS,Ogdensburg, NY, Ogdensburg International (OGS),#REF!,,FALSE,FALSE,'OGS',0,FALSE
MIA,Miami, FL, Miami International (MIA),#REF!,1,#REF!,FALSE,'MIA',1,MIA
MKC,Kansas City, MO, Charles B. Wheeler Downtown (MKC),#REF!,2,FALSE,#REF!,'MKC',1,MKC
MSN,Madison, WI, Dane County Regional-Truax Field (MSN),#REF!,2,FALSE,#REF!,'MSN',1,MSN
MSP,Minneapolis, MN, Minneapolis-St Paul International (MSP),#REF!,1,#REF!,FALSE,'MSP',1,MSP
OWB,Owensboro, KY, Owensboro Daviess County Regional (OWB),#REF!,,FALSE,FALSE,'OWB',0,FALSE
OXR,Oxnard/Ventura, CA, Oxnard (OXR),#REF!,,FALSE,FALSE,'OXR',0,FALSE
PAH,Paducah, KY, Barkley Regional (PAH),#REF!,,FALSE,FALSE,'PAH',0,FALSE
PPG,Pago Pago, TT, Pago Pago International (PPG),#REF!,,FALSE,FALSE,'PPG',0,FALSE
MSY,New Orleans, LA, Louis Armstrong New Orleans International (MSY),#REF!,2,FALSE,#REF!,'MSY',1,MSY
PMD,Palmdale, CA, Palmdale USAF Plant 42 (PMD),#REF!,,FALSE,FALSE,'PMD',0,FALSE
PFN,Panama City, FL, Bay County (PFN),#REF!,,FALSE,FALSE,'PFN',0,FALSE
MYR,Myrtle Beach, SC, Myrtle Beach International (MYR),#REF!,2,FALSE,#REF!,'MYR',1,MYR
OAK,Oakland, CA, Metropolitan Oakland International (OAK),#REF!,1,#REF!,FALSE,'OAK',1,OAK
PLN,Pellston, MI, Pellston Regional Airport of Emmet County (PLN),#REF!,,FALSE,FALSE,'PLN',0,FALSE
PNS,Pensacola, FL, Pensacola International (PNS),#REF!,,FALSE,FALSE,'PNS',0,FALSE
PIA,Peoria, IL, General Downing - Peoria International (PIA),#REF!,,FALSE,FALSE,'PIA',0,FALSE
PSG,Petersburg, AK, Petersburg James A Johnson (PSG),#REF!,,FALSE,FALSE,'PSG',0,FALSE
OKC,Oklahoma City, OK, Will Rogers World (OKC),#REF!,2,FALSE,#REF!,'OKC',1,OKC
OMA,Omaha, NE, Eppley Airfield (OMA),#REF!,2,FALSE,#REF!,'OMA',1,OMA
ONT,Ontario, CA, Ontario International (ONT),#REF!,1,#REF!,FALSE,'ONT',1,ONT
PIR,Pierre, SD, Pierre Regional (PIR),#REF!,,FALSE,FALSE,'PIR',0,FALSE
SOP,Pinehurst/Southern Pines, NC, Moore County (SOP),#REF!,,FALSE,FALSE,'SOP',0,FALSE
ORD,Chicago, IL, Chicago O&#39;Hare International (ORD),#REF!,1,#REF!,FALSE,'ORD',1,ORD
ORH,Worcester, MA, Worcester Regional (ORH),#REF!,2,FALSE,#REF!,'ORH',1,ORH
PIH,Pocatello, ID, Pocatello Regional (PIH),#REF!,,FALSE,FALSE,'PIH',0,FALSE
PSE,Ponce, PR, Mercedita (PSE),#REF!,,FALSE,FALSE,'PSE',0,FALSE
PWM,Portland, ME, Portland International Jetport (PWM),#REF!,,FALSE,FALSE,'PWM',0,FALSE
PBG,Plattsburgh, NY, Plattsburgh International (PBG),#REF!,2,FALSE,#REF!,'PBG',1,PBG
PSM,Portsmouth, NH, Portsmouth International at Pease (PSM),#REF!,,FALSE,FALSE,'PSM',0,FALSE
PRC,Prescott, AZ, Prescott Regional Ernest A Love Field (PRC),#REF!,,FALSE,FALSE,'PRC',0,FALSE
PVD,Providence, RI, Theodore Francis Green State (PVD),#REF!,,FALSE,FALSE,'PVD',0,FALSE
PVU,Provo, UT, Provo Municipal (PVU),#REF!,,FALSE,FALSE,'PVU',0,FALSE
PUB,Pueblo, CO, Pueblo Memorial (PUB),#REF!,,FALSE,FALSE,'PUB',0,FALSE
PGD,Punta Gorda, FL, Punta Gorda Airport (PGD),#REF!,,FALSE,FALSE,'PGD',0,FALSE
UIN,Quincy, IL, Quincy Regional-Baldwin Field (UIN),#REF!,,FALSE,FALSE,'UIN',0,FALSE
PBI,West Palm Beach/Palm Beach, FL, Palm Beach International (PBI),#REF!,2,FALSE,#REF!,'PBI',1,PBI
RCA,Rapid City, SD, Ellsworth AFB (RCA),#REF!,,FALSE,FALSE,'RCA',0,FALSE
RAP,Rapid City, SD, Rapid City Regional (RAP),#REF!,,FALSE,FALSE,'RAP',0,FALSE
RDR,Red River, ND, Grand Forks AFB (RDR),#REF!,,FALSE,FALSE,'RDR',0,FALSE
RDD,Redding, CA, Redding Municipal (RDD),#REF!,,FALSE,FALSE,'RDD',0,FALSE
PDX,Portland, OR, Portland International (PDX),#REF!,1,#REF!,FALSE,'PDX',1,PDX
RHI,Rhinelander, WI, Rhinelander/Oneida County (RHI),#REF!,,FALSE,FALSE,'RHI',0,FALSE
PHL,Philadelphia, PA, Philadelphia International (PHL),#REF!,1,#REF!,FALSE,'PHL',1,PHL
RIW,Riverton/Lander, WY, Riverton Regional (RIW),#REF!,,FALSE,FALSE,'RIW',0,FALSE
ROA,Roanoke, VA, Roanoke Blacksburg Regional Woodrum Field (ROA),#REF!,,FALSE,FALSE,'ROA',0,FALSE
PHX,Phoenix, AZ, Phoenix Sky Harbor International (PHX),#REF!,1,#REF!,FALSE,'PHX',1,PHX
PIT,Pittsburgh, PA, Pittsburgh International (PIT),#REF!,2,FALSE,#REF!,'PIT',1,PIT
RKS,Rock Springs, WY, Southwest Wyoming Regional (RKS),#REF!,,FALSE,FALSE,'RKS',0,FALSE
RFD,Rockford, IL, Chicago/Rockford International (RFD),#REF!,,FALSE,FALSE,'RFD',0,FALSE
ROW,Roswell, NM, Roswell International Air Center (ROW),#REF!,,FALSE,FALSE,'ROW',0,FALSE
ROP,Rota, TT, Benjamin Taisacan Manglona International (ROP),#REF!,,FALSE,FALSE,'ROP',0,FALSE
PSC,Pasco/Kennewick/Richland, WA, Tri Cities (PSC),#REF!,2,FALSE,#REF!,'PSC',1,PSC
MBS,Saginaw/Bay City/Midland, MI, MBS International (MBS),#REF!,,FALSE,FALSE,'MBS',0,FALSE
SPN,Saipan, TT, Francisco C. Ada Saipan International (SPN),#REF!,,FALSE,FALSE,'SPN',0,FALSE
SLE,Salem, OR, McNary Field (SLE),#REF!,,FALSE,FALSE,'SLE',0,FALSE
SLN,Salina, KS, Salina Regional (SLN),#REF!,,FALSE,FALSE,'SLN',0,FALSE
PSP,Palm Springs, CA, Palm Springs International (PSP),#REF!,2,FALSE,#REF!,'PSP',1,PSP
SJT,San Angelo, TX, San Angelo Regional/Mathis Field (SJT),#REF!,,FALSE,FALSE,'SJT',0,FALSE
RDU,Raleigh/Durham, NC, Raleigh-Durham International (RDU),#REF!,1,#REF!,FALSE,'RDU',1,RDU
RIC,Richmond, VA, Richmond International (RIC),#REF!,2,FALSE,#REF!,'RIC',1,RIC
RNO,Reno, NV, Reno/Tahoe International (RNO),#REF!,2,FALSE,#REF!,'RNO',1,RNO
ROC,Rochester, NY, Greater Rochester International (ROC),#REF!,2,FALSE,#REF!,'ROC',1,ROC
RST,Rochester, MN, Rochester International (RST),#REF!,2,FALSE,#REF!,'RST',1,RST
SBP,San Luis Obispo, CA, San Luis County Regional (SBP),#REF!,,FALSE,FALSE,'SBP',0,FALSE
SFB,Sanford, FL, Orlando Sanford International (SFB),#REF!,,FALSE,FALSE,'SFB',0,FALSE
SNA,Santa Ana, CA, John Wayne Airport-Orange County (SNA),#REF!,,FALSE,FALSE,'SNA',0,FALSE
SBA,Santa Barbara, CA, Santa Barbara Municipal (SBA),#REF!,,FALSE,FALSE,'SBA',0,FALSE
SAF,Santa Fe, NM, Santa Fe Municipal (SAF),#REF!,,FALSE,FALSE,'SAF',0,FALSE
SMX,Santa Maria, CA, Santa Maria Public/Capt. G. Allan Hancock Field (SMX),#REF!,,FALSE,FALSE,'SMX',0,FALSE
STS,Santa Rosa, CA, Charles M. Schulz - Sonoma County (STS),#REF!,,FALSE,FALSE,'STS',0,FALSE
SRQ,Sarasota/Bradenton, FL, Sarasota/Bradenton International (SRQ),#REF!,,FALSE,FALSE,'SRQ',0,FALSE
CIU,Sault Ste. Marie, MI, Chippewa County International (CIU),#REF!,,FALSE,FALSE,'CIU',0,FALSE
RSW,Fort Myers, FL, Southwest Florida International (RSW),#REF!,2,FALSE,#REF!,'RSW',1,RSW
BFF,Scottsbluff, NE, Western Neb. Regional/William B. Heilig Field (BFF),#REF!,,FALSE,FALSE,'BFF',0,FALSE
AVP,Scranton/Wilkes-Barre, PA, Wilkes Barre Scranton International (AVP),#REF!,,FALSE,FALSE,'AVP',0,FALSE
SAN,San Diego, CA, San Diego International (SAN),#REF!,1,#REF!,FALSE,'SAN',1,SAN
SAT,San Antonio, TX, San Antonio International (SAT),#REF!,2,FALSE,#REF!,'SAT',1,SAT
SHR,Sheridan, WY, Sheridan County (SHR),#REF!,,FALSE,FALSE,'SHR',0,FALSE
SAV,Savannah, GA, Savannah/Hilton Head International (SAV),#REF!,2,FALSE,#REF!,'SAV',1,SAV
SUX,Sioux City, IA, Sioux Gateway Brig Gen Bud Day Field (SUX),#REF!,,FALSE,FALSE,'SUX',0,FALSE
FSD,Sioux Falls, SD, Joe Foss Field (FSD),#REF!,,FALSE,FALSE,'FSD',0,FALSE
SIT,Sitka, AK, Sitka Rocky Gutierrez (SIT),#REF!,,FALSE,FALSE,'SIT',0,FALSE
SBN,South Bend, IN, South Bend International (SBN),#REF!,,FALSE,FALSE,'SBN',0,FALSE
SCK,Stockton, CA, Stockton Metropolitan (SCK),#REF!,2,FALSE,#REF!,'SCK',1,SCK
SEA,Seattle, WA, Seattle/Tacoma International (SEA),#REF!,1,#REF!,FALSE,'SEA',1,SEA
SPI,Springfield, IL, Abraham Lincoln Capital (SPI),#REF!,,FALSE,FALSE,'SPI',0,FALSE
SGF,Springfield, MO, Springfield-Branson National (SGF),#REF!,,FALSE,FALSE,'SGF',0,FALSE
UST,St. Augustine, FL, Northeast Florida Regional (UST),#REF!,,FALSE,FALSE,'UST',0,FALSE
STC,St. Cloud, MN, St. Cloud Regional (STC),#REF!,,FALSE,FALSE,'STC',0,FALSE
SGU,St. George, UT, St George Regional (SGU),#REF!,,FALSE,FALSE,'SGU',0,FALSE
SFO,San Francisco, CA, San Francisco International (SFO),#REF!,1,#REF!,FALSE,'SFO',1,SFO
KSM,St. Mary&#39;s, AK, St. Mary&#39;s Airport (KSM),#REF!,,FALSE,FALSE,'KSM',0,FALSE
PIE,St. Petersburg, FL, St Pete Clearwater International (PIE),#REF!,,FALSE,FALSE,'PIE',0,FALSE
SCE,State College, PA, University Park (SCE),#REF!,,FALSE,FALSE,'SCE',0,FALSE
SHD,Staunton, VA, Shenandoah Valley Regional (SHD),#REF!,,FALSE,FALSE,'SHD',0,FALSE
SWO,Stillwater, OK, Stillwater Regional (SWO),#REF!,,FALSE,FALSE,'SWO',0,FALSE
SHV,Shreveport, LA, Shreveport Regional (SHV),#REF!,2,FALSE,#REF!,'SHV',1,SHV
SUN,Sun Valley/Hailey/Ketchum, ID, Friedman Memorial (SUN),#REF!,,FALSE,FALSE,'SUN',0,FALSE
SJC,San Jose, CA, Norman Y. Mineta San Jose International (SJC),#REF!,2,FALSE,#REF!,'SJC',1,SJC
SJU,San Juan, PR, Luis Munoz Marin International (SJU),#REF!,2,FALSE,#REF!,'SJU',1,SJU
SKA,Spokane, WA, Fairchild AFB (SKA),#REF!,2,FALSE,#REF!,'SKA',1,SKA
TEX,Telluride, CO, Telluride Regional (TEX),#REF!,,FALSE,FALSE,'TEX',0,FALSE
TXK,Texarkana, AR, Texarkana Regional-Webb Field (TXK),#REF!,,FALSE,FALSE,'TXK',0,FALSE
TKI,Tokeen, AK, Tokeen Airport (TKI),#REF!,,FALSE,FALSE,'TKI',0,FALSE
SLC,Salt Lake City, UT, Salt Lake City International (SLC),#REF!,1,#REF!,FALSE,'SLC',1,SLC
FOE,Topeka, KS, Topeka Regional (FOE),#REF!,,FALSE,FALSE,'FOE',0,FALSE
TVC,Traverse City, MI, Cherry Capital (TVC),#REF!,,FALSE,FALSE,'TVC',0,FALSE
SMF,Sacramento, CA, Sacramento International (SMF),#REF!,2,FALSE,#REF!,'SMF',1,SMF
TUS,Tucson, AZ, Tucson International (TUS),#REF!,,FALSE,FALSE,'TUS',0,FALSE
TUL,Tulsa, OK, Tulsa International (TUL),#REF!,,FALSE,FALSE,'TUL',0,FALSE
UTM,Tunica, MS, Tunica Municipal (UTM),#REF!,,FALSE,FALSE,'UTM',0,FALSE
TUP,Tupelo, MS, Tupelo Regional (TUP),#REF!,,FALSE,FALSE,'TUP',0,FALSE
TWF,Twin Falls, ID, Joslin Field - Magic Valley Regional (TWF),#REF!,,FALSE,FALSE,'TWF',0,FALSE
TYR,Tyler, TX, Tyler Pounds Regional (TYR),#REF!,,FALSE,FALSE,'TYR',0,FALSE
DUT,Unalaska, AK, Unalaska Airport (DUT),#REF!,,FALSE,FALSE,'DUT',0,FALSE
UCA,Utica/Rome, NY, Oneida County (UCA),#REF!,,FALSE,FALSE,'UCA',0,FALSE
VLD,Valdosta, GA, Valdosta Regional (VLD),#REF!,,FALSE,FALSE,'VLD',0,FALSE
VPS,Valparaiso, FL, Eglin AFB Destin Fort Walton Beach (VPS),#REF!,,FALSE,FALSE,'VPS',0,FALSE
VEL,Vernal, UT, Vernal Regional (VEL),#REF!,,FALSE,FALSE,'VEL',0,FALSE
VCT,Victoria, TX, Victoria Regional (VCT),#REF!,,FALSE,FALSE,'VCT',0,FALSE
VIS,Visalia, CA, Visalia Municipal (VIS),#REF!,,FALSE,FALSE,'VIS',0,FALSE
ACT,Waco, TX, Waco Regional (ACT),#REF!,,FALSE,FALSE,'ACT',0,FALSE
STL,St. Louis, MO, St Louis Lambert International (STL),#REF!,2,FALSE,#REF!,'STL',1,STL
SYR,Syracuse, NY, Syracuse Hancock International (SYR),#REF!,2,FALSE,#REF!,'SYR',1,SYR
ALO,Waterloo, IA, Waterloo Regional (ALO),#REF!,,FALSE,FALSE,'ALO',0,FALSE
ART,Watertown, NY, Watertown International (ART),#REF!,,FALSE,FALSE,'ART',0,FALSE
ATY,Watertown, SD, Watertown Regional (ATY),#REF!,,FALSE,FALSE,'ATY',0,FALSE
ENV,Wendover, UT, Wendover Airport (ENV),#REF!,,FALSE,FALSE,'ENV',0,FALSE
TLH,Tallahassee, FL, Tallahassee International (TLH),#REF!,2,FALSE,#REF!,'TLH',1,TLH
WYS,West Yellowstone, MT, Yellowstone (WYS),#REF!,,FALSE,FALSE,'WYS',0,FALSE
HPN,White Plains, NY, Westchester County (HPN),#REF!,,FALSE,FALSE,'HPN',0,FALSE
SPS,Wichita Falls, TX, Sheppard AFB/Wichita Falls Municipal (SPS),#REF!,,FALSE,FALSE,'SPS',0,FALSE
TOL,Toledo, OH, Toledo Express (TOL),#REF!,2,FALSE,#REF!,'TOL',1,TOL
IPT,Williamsport, PA, Williamsport Regional (IPT),#REF!,,FALSE,FALSE,'IPT',0,FALSE
ISN,Williston, ND, Sloulin Field International (ISN),#REF!,,FALSE,FALSE,'ISN',0,FALSE
XWA,Williston, ND, Williston Basin International (XWA),#REF!,,FALSE,FALSE,'XWA',0,FALSE
TPA,Tampa, FL, Tampa International (TPA),#REF!,1,#REF!,FALSE,'TPA',1,TPA
ILM,Wilmington, NC, Wilmington International (ILM),#REF!,,FALSE,FALSE,'ILM',0,FALSE
TTN,Trenton, NJ, Trenton Mercer (TTN),#REF!,2,FALSE,#REF!,'TTN',1,TTN
WRG,Wrangell, AK, Wrangell Airport (WRG),#REF!,,FALSE,FALSE,'WRG',0,FALSE
YKM,Yakima, WA, Yakima Air Terminal/McAllister Field (YKM),#REF!,,FALSE,FALSE,'YKM',0,FALSE
YAK,Yakutat, AK, Yakutat Airport (YAK),#REF!,,FALSE,FALSE,'YAK',0,FALSE
YAP,Yap, Federated States of Micronesia, Yap International (YAP),#REF!,,FALSE,FALSE,'YAP',0,FALSE
YNG,Youngstown/Warren, OH, Youngstown-Warren Regional (YNG),#REF!,,FALSE,FALSE,'YNG',0,FALSE
YUM,Yuma, AZ, Yuma MCAS/Yuma International (YUM),#REF!,,FALSE,FALSE,'YUM',0,FALSE
